Date_ID,Date,Day,ISO_Week,Month,Quarter,Year,Day_of_Week,Is_US_Holiday
429,2019-03-05,5,10,3,q1,2019,tuesday,False
430,2019-03-06,6,10,3,q1,2019,wednesday,False
431,2019-03-07,7,10,3,q1,2019,thursday,False
432,2019-03-08,8,10,3,q1,2019,friday,False
433,2019-03-09,9,10,3,q1,2019,saturday,False
434,2019-03-10,10,10,3,q1,2019,sunday,False
435,2019-03-11,11,11,3,q1,2019,monday,False
436,2019-03-12,12,11,3,q1,2019,tuesday,False
437,2019-03-13,13,11,3,q1,2019,wednesday,False
438,2019-03-14,14,11,3,q1,2019,thursday,False
439,2019-03-15,15,11,3,q1,2019,friday,False
440,2019-03-16,16,11,3,q1,2019,saturday,False
441,2019-03-17,17,11,3,q1,2019,sunday,False
442,2019-03-18,18,12,3,q1,2019,monday,False
443,2019-03-19,19,12,3,q1,2019,tuesday,False
444,2019-03-20,20,12,3,q1,2019,wednesday,False
445,2019-03-21,21,12,3,q1,2019,thursday,False
446,2019-03-22,22,12,3,q1,2019,friday,False
447,2019-03-23,23,12,3,q1,2019,saturday,False
448,2019-03-24,24,12,3,q1,2019,sunday,False
449,2019-03-25,25,13,3,q1,2019,monday,False
450,2019-03-26,26,13,3,q1,2019,tuesday,False
451,2019-03-27,27,13,3,q1,2019,wednesday,False
452,2019-03-28,28,13,3,q1,2019,thursday,False
453,2019-03-29,29,13,3,q1,2019,friday,False
454,2019-03-30,30,13,3,q1,2019,saturday,False
455,2019-03-31,31,13,3,q1,2019,sunday,False
456,2019-04-01,1,14,4,q2,2019,monday,False
457,2019-04-02,2,14,4,q2,2019,tuesday,False
458,2019-04-03,3,14,4,q2,2019,wednesday,False
459,2019-04-04,4,14,4,q2,2019,thursday,False
460,2019-04-05,5,14,4,q2,2019,friday,False
461,2019-04-06,6,14,4,q2,2019,saturday,False
462,2019-04-07,7,14,4,q2,2019,sunday,False
463,2019-04-08,8,15,4,q2,2019,monday,False
464,2019-04-09,9,15,4,q2,2019,tuesday,False
465,2019-04-10,10,15,4,q2,2019,wednesday,False
466,2019-04-11,11,15,4,q2,2019,thursday,False
467,2019-04-12,12,15,4,q2,2019,friday,False
468,2019-04-13,13,15,4,q2,2019,saturday,False
469,2019-04-14,14,15,4,q2,2019,sunday,False
470,2019-04-15,15,16,4,q2,2019,monday,False
471,2019-04-16,16,16,4,q2,2019,tuesday,False
472,2019-04-17,17,16,4,q2,2019,wednesday,False
473,2019-04-18,18,16,4,q2,2019,thursday,False
474,2019-04-19,19,16,4,q2,2019,friday,False
475,2019-04-20,20,16,4,q2,2019,saturday,False
476,2019-04-21,21,16,4,q2,2019,sunday,False
477,2019-04-22,22,17,4,q2,2019,monday,False
478,2019-04-23,23,17,4,q2,2019,tuesday,False
479,2019-04-24,24,17,4,q2,2019,wednesday,False
480,2019-04-25,25,17,4,q2,2019,thursday,False
481,2019-04-26,26,17,4,q2,2019,friday,False
482,2019-04-27,27,17,4,q2,2019,saturday,False
483,2019-04-28,28,17,4,q2,2019,sunday,False
484,2019-04-29,29,18,4,q2,2019,monday,False
485,2019-04-30,30,18,4,q2,2019,tuesday,False
486,2019-05-01,1,18,5,q2,2019,wednesday,False
487,2019-05-02,2,18,5,q2,2019,thursday,False
488,2019-05-03,3,18,5,q2,2019,friday,False
489,2019-05-04,4,18,5,q2,2019,saturday,False
490,2019-05-05,5,18,5,q2,2019,sunday,False
491,2019-05-06,6,19,5,q2,2019,monday,False
492,2019-05-07,7,19,5,q2,2019,tuesday,False
493,2019-05-08,8,19,5,q2,2019,wednesday,False
494,2019-05-09,9,19,5,q2,2019,thursday,False
495,2019-05-10,10,19,5,q2,2019,friday,False
496,2019-05-11,11,19,5,q2,2019,saturday,False
497,2019-05-12,12,19,5,q2,2019,sunday,False
498,2019-05-13,13,20,5,q2,2019,monday,False
499,2019-05-14,14,20,5,q2,2019,tuesday,False
500,2019-05-15,15,20,5,q2,2019,wednesday,False
501,2019-05-16,16,20,5,q2,2019,thursday,False
502,2019-05-17,17,20,5,q2,2019,friday,False
503,2019-05-18,18,20,5,q2,2019,saturday,False
504,2019-05-19,19,20,5,q2,2019,sunday,False
505,2019-05-20,20,21,5,q2,2019,monday,False
506,2019-05-21,21,21,5,q2,2019,tuesday,False
